tweet_id,favorite_count,retweet_count
853760880890318849,29907,6226
853639147608842240,36526,10916
853299958564483072,16258,3825
852936405516943360,0,2178
852912242202992640,9478,1984
852672615818899456,15656,2312
852553447878664193,17186,3781
852311364735569921,34763,10683
852226086759018497,20991,7368
852189679701164033,12025,1705
851953902622658560,0,10418
851861385021730816,0,23
851591660324737024,17029,3740
851464819735769094,25523,7640
851224888060895234,21736,6191
850753642995093505,32737,10074
850380195714523136,13748,2827
850333567704068097,3596,361
850145622816686080,17221,4137
850019790995546112,21586,5313
849776966551130114,32142,8257
849668094696017920,0,5392
849412302885593088,16758,3399
849336543269576704,12071,2051
849051919805034497,44799,9275
848690551926992896,26656,4690
848324959059550208,26183,5007
848213670039564288,8658,814
848212111729840128,17301,3354
847978865427394560,0,3550
847971574464610304,0,467
847962785489326080,24859,5584
847842811428974592,5824,1468
847617282490613760,7428,457
847606175596138505,19861,3677
847251039262605312,21640,4669
847157206088847362,21195,6383
847116187444137987,22714,3483
846874817362120707,21299,4287
846514051647705089,47469,12682
846505985330044928,15028,3390
846153765933735936,33731,9893
846139713627017216,32718,10726
846042936437604353,16988,3145
845812042753855489,31142,9568
845677943972139009,26684,5224
845397057150107648,8106,1999
845306882940190720,24790,5895
845098359547420673,0,8407
844979544864018432,14489,2834
844973813909606400,16098,3518
844704788403113984,41246,11332
844580511645339650,17534,3433
844223788422217728,14507,2399
843981021012017153,16069,3199
843856843873095681,22800,5079
843604394117681152,17991,2999
843235543001513987,22906,6643
842846295480000512,16198,3926
842765311967449089,7198,1405
842535590457499648,19291,3838
842163532590374912,26125,6370
842115215311396866,14957,3314
841833993020538882,0,16951
841680585030541313,27352,8524
841439858740625411,13501,4050
841320156043304961,21068,5961
841314665196081154,16968,5173
841077006473256960,24498,5827
840761248237133825,0,1935
840728873075638272,0,17812
840698636975636481,195,3
840696689258311684,13158,1089
840632337062862849,9603,1935
840370681858686976,17606,5022
840268004936019968,20606,6316
839990271299457024,14369,2533
839549326359670784,29469,8578
839290600511926273,0,156
839239871831150596,29127,7220
838952994649550848,21006,4396
838921590096166913,11966,2292
838916489579200512,0,37
838831947270979586,0,12242
838561493054533637,11690,1469
838476387338051585,24236,5325
838201503651401729,0,11199
838150277551247360,1795,359
838085839343206401,149,0
838083903487373313,18892,3479
837820167694528512,36670,8704
837482249356513284,4132,490
837471256429613056,13747,2557
837366284874571778,22662,5852
837110210464448512,17174,2655
836989968035819520,13651,2543
836753516572119041,20650,5102
836677758902222849,13532,2457
836648853927522308,0,610
836397794269200385,0,30538
836380477523124226,15798,3254
836260088725786625,22788,4739
836001077879255040,20527,4783
835685285446955009,0,9077
835574547218894849,19132,4017
